event,window,start,axis,threshold,n_users,count,rate_per_100k,p99,p999,pmax,gini,top1pct_share,anchor_feature,anchor_median
E1,1,2024-08-25,superspreader,0.500000,66146,23,34.772,0.3026,0.4392,0.6461,0.4948,0.0579,influence_score,1964.0
E1,1,2024-08-25,amplifier,0.500000,66146,1610,2434.010,0.5795,0.7046,0.8832,0.6130,0.0495,repost_count,162.0
E1,1,2024-08-25,coordinated,0.500000,66146,84,126.992,0.3696,0.5238,0.9601,0.7413,0.0702,co_action_size,12.2
E1,2,2024-08-30,superspreader,0.500000,180289,139,77.098,0.3093,0.4829,0.8458,0.5140,0.0662,influence_score,3676.0
E1,2,2024-08-30,amplifier,0.500000,180289,3063,1698.939,0.5330,0.6494,0.8224,0.5299,0.0380,repost_count,114.0
E1,2,2024-08-30,coordinated,0.500000,180289,2314,1283.495,0.5239,0.6714,0.9427,0.6646,0.0571,co_action_size,51.6
E1,3,2024-09-04,superspreader,0.500000,177347,154,86.835,0.3181,0.4871,0.9572,0.5408,0.0684,influence_score,4020.0
E1,3,2024-09-04,amplifier,0.500000,177347,4107,2315.799,0.5627,0.6858,0.8507,0.5375,0.0396,repost_count,133.0
E1,3,2024-09-04,coordinated,0.500000,177347,1300,733.026,0.4761,0.6413,1.0000,0.6738,0.0577,co_action_size,45.6
E1,4,2024-09-09,superspreader,0.500000,179252,179,99.859,0.3315,0.5000,0.9913,0.5364,0.0670,influence_score,4549.0
E1,4,2024-09-09,amplifier,0.500000,179252,5133,2863.566,0.5799,0.7066,0.8747,0.5306,0.0389,repost_count,132.0
E1,4,2024-09-09,coordinated,0.500000,179252,1722,960.659,0.4969,0.6605,0.8462,0.6571,0.0551,co_action_size,37.8
E1,5,2024-09-14,superspreader,0.500000,173781,197,113.361,0.3321,0.5066,0.9931,0.5338,0.0672,influence_score,3934.0
E1,5,2024-09-14,amplifier,0.500000,173781,5730,3297.253,0.5903,0.7193,0.9026,0.5391,0.0392,repost_count,126.0
E1,5,2024-09-14,coordinated,0.500000,173781,1904,1095.632,0.5075,0.6697,0.9688,0.6616,0.0545,co_action_size,49.0
E1,6,2024-09-19,superspreader,0.500000,200779,325,161.870,0.3598,0.5398,1.0000,0.5262,0.0649,influence_score,3657.0
E1,6,2024-09-19,amplifier,0.500000,200779,9691,4826.700,0.6255,0.7513,0.9433,0.5203,0.0372,repost_count,135.0
E1,6,2024-09-19,coordinated,0.500000,200779,2280,1135.577,0.5097,0.6586,0.9141,0.6295,0.0501,co_action_size,28.4
E1,7,2024-09-24,superspreader,0.500000,160215,152,94.873,0.3338,0.4963,0.9167,0.5375,0.0664,influence_score,4103.0
E1,7,2024-09-24,amplifier,0.500000,160215,5039,3145.149,0.5867,0.7177,0.9194,0.5511,0.0408,repost_count,138.0
E1,7,2024-09-24,coordinated,0.500000,160215,728,454.389,0.4416,0.6053,0.9080,0.6733,0.0580,co_action_size,20.9
E2,1,2024-10-12,superspreader,0.500000,107299,49,45.667,0.3113,0.4595,0.6763,0.5058,0.0578,influence_score,3441.0
E2,1,2024-10-12,amplifier,0.500000,107299,3044,2836.932,0.5838,0.7167,0.9281,0.5983,0.0462,repost_count,145.0
E2,1,2024-10-12,coordinated,0.500000,107299,146,136.068,0.3751,0.5166,0.8160,0.7301,0.0678,co_action_size,8.5
E2,2,2024-10-17,superspreader,0.500000,357292,91,25.469,0.2954,0.4301,0.6740,0.5047,0.0566,influence_score,3803.0
