event,window,start,end,n_users,n_reposts,mean_confidence,mean_superspreader,mean_amplifier,mean_coordinated,median_superspreader,median_amplifier,median_coordinated
E1,1,2024-08-25,2024-08-30,66146,1445365,0.5876,0.0622,0.1288,0.0619,0.0438,0.0826,0.0000
E1,2,2024-08-30,2024-09-04,180289,4879755,0.5529,0.0575,0.1538,0.1038,0.0360,0.1378,0.0000
E1,3,2024-09-04,2024-09-09,177347,6077439,0.5824,0.0573,0.1559,0.0951,0.0357,0.1343,0.0000
E1,4,2024-09-09,2024-09-14,179252,6563135,0.5900,0.0606,0.1636,0.1033,0.0370,0.1435,0.0000
E1,5,2024-09-14,2024-09-19,173781,6508408,0.5889,0.0607,0.1647,0.1063,0.0374,0.1411,0.0000
E1,6,2024-09-19,2024-09-24,200779,8802901,0.6100,0.0673,0.1830,0.1153,0.0441,0.1625,0.0538
E1,7,2024-09-24,2024-09-29,160215,5836595,0.5960,0.0611,0.1580,0.0886,0.0381,0.1311,0.0000
E2,1,2024-10-12,2024-10-17,107299,2946334,0.6107,0.0650,0.1392,0.0645,0.0449,0.0982,0.0000
E2,2,2024-10-17,2024-10-22,357292,8913243,0.6073,0.0624,0.1528,0.0610,0.0429,0.1270,0.0000
E2,3,2024-10-22,2024-10-27,294619,7667877,0.6126,0.0613,0.1441,0.0585,0.0419,0.1113,0.0000
E2,4,2024-10-27,2024-11-01,279236,7055692,0.6164,0.0645,0.1371,0.0561,0.0454,0.1016,0.0000
E2,5,2024-11-01,2024-11-06,254794,6206091,0.6124,0.0630,0.1331,0.0552,0.0437,0.0927,0.0000
E2,6,2024-11-06,2024-11-11,274839,6876382,0.6000,0.0602,0.1430,0.0704,0.0417,0.1069,0.0000
E2,7,2024-11-11,2024-11-16,318407,6001394,0.5713,0.0550,0.1151,0.0494,0.0376,0.0743,0.0000
E3,1,2024-10-31,2024-11-05,256984,6261910,0.6139,0.0626,0.1331,0.0542,0.0434,0.0939,0.0000
E3,2,2024-11-05,2024-11-10,272317,6971492,0.6032,0.0617,0.1443,0.0718,0.0428,0.1069,0.0000
E3,3,2024-11-10,2024-11-15,291386,5833798,0.5728,0.0545,0.1183,0.0506,0.0384,0.0743,0.0000
E3,4,2024-11-15,2024-11-20,359534,7127437,0.5772,0.0530,0.1164,0.0452,0.0354,0.0790,0.0000
E3,5,2024-11-20,2024-11-25,368855,8165933,0.5831,0.0536,0.1191,0.0483,0.0355,0.0790,0.0000
E3,6,2024-11-25,2024-11-30,306695,7426155,0.5792,0.0548,0.1179,0.0526,0.0390,0.0743,0.0000
E3,7,2024-11-30,2024-12-05,386153,9667650,0.5908,0.0573,0.1253,0.0568,0.0381,0.0790,0.0000
E4,1,2025-01-01,2025-01-06,304423,8008117,0.5929,0.0570,0.1263,0.0588,0.0376,0.0743,0.0000
E4,2,2025-01-06,2025-01-11,322437,9134510,0.5939,0.0591,0.1328,0.0665,0.0395,0.0790,0.0000
E4,3,2025-01-11,2025-01-16,328546,9104719,0.5935,0.0588,0.1293,0.0606,0.0395,0.0790,0.0000
E4,4,2025-01-16,2025-01-21,332491,9613002,0.5920,0.0583,0.1372,0.0729,0.0387,0.0881,0.0000
E4,5,2025-01-21,2025-01-26,364555,11616016,0.5933,0.0587,0.1451,0.0761,0.0385,0.1005,0.0000
